Erzeugt am;06.05.2024 14:52;;;
station_name;Rinderbach/Walkmühle;;;
station_no;P035;;;
Gewässer;Rinderbach;;;
RBD;;;;
station_latitude;51.3409488038478;;;
station_longitude;6.93566682545313;;;
stationparameter_longname;;;;
ts_name;TagMittel;;;
Auflösung;Tagesdaten;;;
Unit;m³/s;;;
from;07.05.2023;;;
to;05.05.2024;;;
Tag;Tages Minimum;Tages Mittel;Tages Maximum;Status
07.05.2023;0.143;0.193;0.501;
08.05.2023;0.179;0.199;0.291;
09.05.2023;0.143;0.267;0.962;
10.05.2023;0.291;0.466;1.012;
11.05.2023;0.179;0.273;0.373;
12.05.2023;0.291;0.49;1.663;
13.05.2023;0.243;0.249;0.291;
14.05.2023;0.221;0.224;0.243;
15.05.2023;0.199;0.204;0.221;
16.05.2023;0.199;0.273;0.403;
17.05.2023;0.179;0.184;0.221;
18.05.2023;0.161;0.174;0.179;
19.05.2023;0.161;0.169;0.179;
20.05.2023;0.161;0.163;0.179;
21.05.2023;0.143;0.156;0.161;
22.05.2023;0.143;0.157;0.161;
23.05.2023;0.143;0.147;0.161;
24.05.2023;0.143;0.143;0.143;
25.05.2023;0.126;0.137;0.143;
26.05.2023;0.126;0.135;0.143;
27.05.2023;0.126;0.135;0.143;
28.05.2023;0.126;0.13;0.143;
29.05.2023;0.126;0.126;0.126;
30.05.2023;0.126;0.126;0.126;
31.05.2023;0.126;0.126;0.126;
01.06.2023;0.126;0.126;0.126;
02.06.2023;0.126;0.126;0.126;
03.06.2023;0.111;0.122;0.126;
04.06.2023;0.111;0.119;0.126;
05.06.2023;0.097;0.119;0.126;
06.06.2023;0.111;0.117;0.126;
07.06.2023;0.111;0.13;0.143;
08.06.2023;0.126;0.129;0.143;
09.06.2023;0.126;0.126;0.126;
10.06.2023;0.126;0.126;0.126;
11.06.2023;0.111;0.12;0.126;
12.06.2023;0.126;0.126;0.126;
13.06.2023;0.111;0.119;0.126;
14.06.2023;0.111;0.116;0.126;
15.06.2023;0.111;0.115;0.126;
16.06.2023;0.111;0.115;0.126;
17.06.2023;0.111;0.111;0.111;
18.06.2023;0.111;0.111;0.111;
19.06.2023;0.111;0.111;0.111;
20.06.2023;0.111;0.112;0.126;
21.06.2023;0.111;0.116;0.126;
22.06.2023;0.111;0.55;3.132;
23.06.2023;0.199;0.623;2.173;
24.06.2023;0.143;0.152;0.199;
25.06.2023;0.126;0.131;0.143;
26.06.2023;0.111;0.127;0.143;
27.06.2023;0.126;0.126;0.126;
28.06.2023;0.111;0.119;0.126;
29.06.2023;0.111;0.118;0.126;
30.06.2023;0.126;0.162;0.267;
01.07.2023;0.111;0.152;0.267;
02.07.2023;0.111;0.125;0.161;
03.07.2023;0.111;0.117;0.126;
04.07.2023;0.111;0.117;0.126;
05.07.2023;0.126;0.229;0.69;
06.07.2023;0.126;0.167;0.243;
07.07.2023;0.111;0.121;0.126;
08.07.2023;0.111;0.115;0.126;
09.07.2023;;;;
10.07.2023;0.126;0.144;0.179;
11.07.2023;0.111;0.115;0.126;
12.07.2023;0.111;0.139;0.199;
13.07.2023;0.111;0.114;0.126;
14.07.2023;0.111;0.111;0.111;
15.07.2023;0.097;0.145;0.318;
16.07.2023;0.111;0.119;0.161;
17.07.2023;0.111;0.116;0.143;
18.07.2023;0.111;0.115;0.143;
19.07.2023;0.097;0.107;0.111;
20.07.2023;0.111;0.141;0.179;
21.07.2023;0.111;0.115;0.126;
22.07.2023;0.097;0.099;0.111;
23.07.2023;0.097;0.158;0.318;
24.07.2023;0.179;0.56;2.851;
25.07.2023;0.143;0.179;0.291;
26.07.2023;0.111;0.154;0.243;
27.07.2023;0.126;0.649;2.02;
28.07.2023;0.267;0.334;0.775;
29.07.2023;0.199;0.381;1.801;
30.07.2023;0.179;0.254;0.775;
31.07.2023;0.267;0.709;2.333;
01.08.2023;0.403;1.201;3.327;
02.08.2023;0.345;0.483;1.406;
03.08.2023;0.345;0.486;0.866;
04.08.2023;0.291;0.365;0.732;
05.08.2023;0.267;0.415;1.468;
06.08.2023;0.318;0.514;1.732;
07.08.2023;0.434;0.752;1.468;
08.08.2023;0.345;0.4;0.775;
09.08.2023;0.345;0.48;1.286;
10.08.2023;0.243;0.272;0.345;
11.08.2023;0.221;0.224;0.243;
12.08.2023;0.221;0.387;1.064;
13.08.2023;0.221;0.236;0.291;
14.08.2023;0.179;0.195;0.221;
15.08.2023;0.179;0.192;0.291;
16.08.2023;0.161;0.226;3.427;
17.08.2023;0.318;1.017;3.529;
18.08.2023;0.267;0.288;0.318;
19.08.2023;0.221;0.227;0.267;
20.08.2023;0.199;0.207;0.221;
21.08.2023;0.179;0.179;0.179;
22.08.2023;0.161;0.164;0.179;
23.08.2023;0.161;0.161;0.161;
24.08.2023;0.143;0.157;0.161;
25.08.2023;0.143;0.597;3.132;
26.08.2023;0.199;0.217;0.291;
27.08.2023;0.161;0.192;0.221;
28.08.2023;0.161;0.165;0.199;
29.08.2023;0.143;0.157;0.161;
30.08.2023;0.143;0.29;0.913;
31.08.2023;0.179;0.205;0.291;
01.09.2023;0.143;0.332;1.228;
02.09.2023;0.179;0.211;0.267;
03.09.2023;0.161;0.172;0.179;
04.09.2023;0.143;0.177;0.199;
05.09.2023;0.161;0.176;0.199;
06.09.2023;0.161;0.169;0.179;
07.09.2023;0.161;0.163;0.179;
08.09.2023;0.143;0.155;0.161;
09.09.2023;0.143;0.153;0.161;
10.09.2023;0.143;0.15;0.161;
11.09.2023;0.143;0.15;0.161;
12.09.2023;0.143;0.23;0.467;
13.09.2023;0.199;0.338;1.064;
14.09.2023;0.126;0.192;0.243;
15.09.2023;0.143;0.156;0.179;
16.09.2023;0.143;0.154;0.179;
17.09.2023;0.161;0.182;0.199;
18.09.2023;0.143;0.166;0.291;
19.09.2023;0.161;0.184;0.267;
20.09.2023;0.143;0.15;0.161;
21.09.2023;0.143;0.303;1.945;
22.09.2023;0.179;0.238;0.403;
23.09.2023;0.161;0.177;0.267;
24.09.2023;0.143;0.153;0.161;
25.09.2023;0.143;0.157;0.161;
26.09.2023;0.143;0.161;0.179;
27.09.2023;0.161;0.161;0.161;
28.09.2023;0.161;0.161;0.161;
29.09.2023;0.161;0.179;0.267;
30.09.2023;0.161;0.171;0.221;
01.10.2023;0.143;0.156;0.161;
02.10.2023;0.143;0.155;0.161;
03.10.2023;0.143;0.229;0.775;
04.10.2023;0.179;0.194;0.243;
05.10.2023;0.161;0.163;0.179;
06.10.2023;0.143;0.154;0.161;
07.10.2023;0.143;0.152;0.161;
08.10.2023;0.143;0.15;0.161;
09.10.2023;0.143;0.147;0.161;
10.10.2023;0.143;0.143;0.143;
11.10.2023;0.143;0.143;0.143;
12.10.2023;0.143;0.184;0.291;
13.10.2023;0.161;0.267;0.866;
14.10.2023;0.221;0.45;1.663;
15.10.2023;0.179;0.215;0.267;
16.10.2023;0.161;0.175;0.199;
17.10.2023;0.143;0.157;0.179;
18.10.2023;0.143;0.146;0.373;
19.10.2023;0.179;0.302;1.118;
20.10.2023;0.161;0.372;1.228;
21.10.2023;0.267;0.343;0.69;
22.10.2023;0.199;0.212;0.267;
23.10.2023;0.179;0.193;0.243;
24.10.2023;0.179;0.227;0.318;
25.10.2023;0.161;0.395;1.286;
26.10.2023;0.267;0.383;1.064;
27.10.2023;0.243;0.439;1.286;
28.10.2023;0.318;0.344;0.467;
29.10.2023;0.345;0.4;0.501;
30.10.2023;0.243;0.493;1.732;
31.10.2023;0.345;0.417;0.61;
01.11.2023;0.318;0.403;0.913;
02.11.2023;0.291;0.297;0.345;
03.11.2023;0.243;0.277;0.373;
04.11.2023;0.221;0.268;0.467;
05.11.2023;0.243;0.357;0.501;
06.11.2023;0.221;0.249;0.318;
07.11.2023;0.199;0.219;0.243;
08.11.2023;0.199;0.206;0.243;
09.11.2023;0.243;0.518;1.118;
10.11.2023;0.345;0.406;0.82;
11.11.2023;0.373;0.536;1.286;
12.11.2023;0.318;0.325;0.373;
13.11.2023;0.291;0.848;3.228;
14.11.2023;0.434;0.902;2.851;
15.11.2023;0.69;1.176;2.585;
16.11.2023;0.467;0.558;0.69;
17.11.2023;0.373;0.443;0.501;
18.11.2023;0.345;0.48;1.172;
19.11.2023;0.434;0.54;1.118;
20.11.2023;0.467;0.516;0.962;
21.11.2023;0.318;0.409;0.467;
22.11.2023;0.345;0.35;0.373;
23.11.2023;0.318;0.332;0.61;
24.11.2023;0.403;0.474;1.012;
25.11.2023;0.318;0.358;0.501;
26.11.2023;0.291;0.337;0.501;
27.11.2023;0.318;0.641;1.118;
28.11.2023;0.501;0.561;0.913;
29.11.2023;0.434;0.463;0.501;
30.11.2023;0.373;0.39;0.434;
01.12.2023;0.345;0.349;0.373;
02.12.2023;0.291;0.311;0.345;
03.12.2023;0.267;0.284;0.318;
04.12.2023;0.267;0.296;0.536;
05.12.2023;0.434;0.499;0.572;
06.12.2023;0.345;0.379;0.434;
07.12.2023;0.318;0.322;0.345;
08.12.2023;0.318;0.324;0.345;
09.12.2023;0.291;0.397;1.064;
10.12.2023;0.345;0.392;0.536;
11.12.2023;0.345;0.519;1.064;
12.12.2023;0.345;0.402;0.572;
13.12.2023;0.434;0.509;0.775;
14.12.2023;0.403;0.462;0.82;
15.12.2023;0.373;0.38;0.403;
16.12.2023;0.345;0.347;0.373;
17.12.2023;0.318;0.323;0.345;
18.12.2023;0.291;0.296;0.318;
19.12.2023;0.291;0.939;2.333;
20.12.2023;0.536;0.741;1.228;
21.12.2023;0.732;1.182;1.945;
22.12.2023;0.913;1.292;1.873;
23.12.2023;0.82;1.069;1.597;
24.12.2023;0.732;1.087;1.663;
25.12.2023;0.82;1.273;2.173;
26.12.2023;0.913;1.286;1.945;
27.12.2023;0.69;0.812;0.962;
28.12.2023;0.572;0.626;0.913;
29.12.2023;0.536;0.689;1.345;
30.12.2023;0.467;0.526;0.61;
31.12.2023;0.434;0.47;0.61;
01.01.2024;0.403;0.45;0.61;
02.01.2024;0.403;1.387;3.132;
03.01.2024;0.866;1.289;3.228;
04.01.2024;1.012;1.559;2.943;
05.01.2024;0.775;0.928;1.468;
06.01.2024;0.61;0.701;0.913;
07.01.2024;0.536;0.583;0.649;
08.01.2024;0.467;0.477;0.536;
09.01.2024;0.403;0.433;0.467;
10.01.2024;0.373;0.395;0.649;
11.01.2024;0.291;0.365;0.467;
12.01.2024;0.345;0.347;0.373;
13.01.2024;0.318;0.345;0.373;
14.01.2024;0.318;0.34;0.373;
15.01.2024;0.318;0.343;0.373;
16.01.2024;0.291;0.314;0.345;
17.01.2024;0.291;0.304;0.318;
18.01.2024;0.291;0.304;0.318;
19.01.2024;0.267;0.28;0.318;
20.01.2024;0.267;0.275;0.291;
21.01.2024;0.267;0.28;0.345;
22.01.2024;0.345;0.515;1.064;
23.01.2024;0.267;0.39;0.61;
24.01.2024;0.345;0.406;0.572;
25.01.2024;0.318;0.335;0.403;
26.01.2024;0.373;0.504;1.118;
27.01.2024;0.345;0.374;0.434;
28.01.2024;0.345;0.357;0.373;
29.01.2024;0.318;0.331;0.345;
30.01.2024;0.318;0.319;0.345;
31.01.2024;0.291;0.296;0.318;
01.02.2024;0.291;0.37;0.536;
02.02.2024;0.267;0.279;0.318;
03.02.2024;0.291;0.383;0.572;
04.02.2024;0.373;0.475;0.82;
05.02.2024;0.345;0.398;0.536;
06.02.2024;0.345;0.345;0.345;
07.02.2024;0.345;0.844;2.333;
08.02.2024;0.501;0.784;1.732;
09.02.2024;0.82;1.128;1.597;
10.02.2024;0.69;0.934;2.585;
11.02.2024;0.572;0.614;0.69;
12.02.2024;0.467;0.519;0.572;
13.02.2024;0.403;0.413;0.467;
14.02.2024;0.373;0.571;1.406;
15.02.2024;0.434;0.496;0.649;
16.02.2024;0.403;0.423;0.572;
17.02.2024;0.373;0.377;0.403;
18.02.2024;0.345;0.414;0.61;
19.02.2024;0.434;0.504;0.82;
20.02.2024;0.373;0.4;0.467;
21.02.2024;0.345;0.391;0.61;
22.02.2024;0.403;0.705;1.228;
23.02.2024;0.501;0.527;0.649;
24.02.2024;0.434;0.47;0.61;
25.02.2024;0.403;0.409;0.434;
26.02.2024;0.373;0.567;1.286;
27.02.2024;0.373;0.413;0.467;
28.02.2024;0.345;0.371;0.373;
29.02.2024;0.345;0.36;0.373;
01.03.2024;0.318;0.342;0.345;
02.03.2024;0.318;0.321;0.345;
03.03.2024;0.291;0.306;0.318;
04.03.2024;0.291;0.294;0.318;
05.03.2024;0.267;0.298;0.467;
06.03.2024;0.267;0.276;0.318;
07.03.2024;0.267;0.268;0.291;
08.03.2024;0.243;0.259;0.267;
09.03.2024;0.243;0.256;0.267;
10.03.2024;0.243;0.256;0.267;
11.03.2024;0.267;0.461;0.913;
12.03.2024;0.318;0.36;0.467;
13.03.2024;0.267;0.327;0.467;
14.03.2024;0.267;0.278;0.291;
15.03.2024;0.267;0.347;1.012;
16.03.2024;0.318;0.361;0.501;
17.03.2024;0.267;0.285;0.318;
18.03.2024;0.291;0.332;0.501;
19.03.2024;0.267;0.281;0.291;
20.03.2024;0.267;0.27;0.291;
21.03.2024;0.243;0.262;0.267;
22.03.2024;0.243;0.28;0.501;
23.03.2024;0.345;0.454;0.866;
24.03.2024;0.318;0.469;1.172;
25.03.2024;0.345;0.368;0.536;
26.03.2024;0.318;0.336;0.345;
27.03.2024;0.267;0.32;0.373;
28.03.2024;0.291;0.33;0.501;
29.03.2024;0.291;0.302;0.318;
30.03.2024;0.267;0.28;0.291;
31.03.2024;0.267;0.295;0.434;
01.04.2024;0.267;0.369;0.775;
02.04.2024;0.267;0.305;0.467;
03.04.2024;0.291;0.32;0.434;
04.04.2024;0.267;0.68;2.415;
05.04.2024;0.403;0.458;0.572;
06.04.2024;0.373;0.375;0.403;
07.04.2024;0.345;0.346;0.373;
08.04.2024;0.291;0.359;0.501;
09.04.2024;0.291;0.33;0.536;
10.04.2024;0.267;0.288;0.318;
11.04.2024;0.267;0.27;0.291;
12.04.2024;0.243;0.262;0.267;
13.04.2024;0.243;0.256;0.267;
14.04.2024;0.243;0.246;0.267;
15.04.2024;0.243;0.288;0.649;
16.04.2024;0.291;0.439;1.118;
17.04.2024;0.291;0.462;1.406;
18.04.2024;0.318;0.361;0.536;
19.04.2024;0.291;0.649;1.228;
20.04.2024;0.403;0.475;0.572;
21.04.2024;0.373;0.418;0.501;
22.04.2024;0.345;0.361;0.501;
23.04.2024;0.318;0.339;0.345;
24.04.2024;0.318;0.401;0.913;
25.04.2024;0.318;0.348;0.434;
26.04.2024;0.291;0.295;0.318;
27.04.2024;0.267;0.281;0.291;
28.04.2024;0.267;0.268;0.291;
29.04.2024;0.243;0.261;0.267;
30.04.2024;0.243;0.252;0.267;
01.05.2024;0.243;0.246;0.267;
02.05.2024;0.243;0.324;0.962;
03.05.2024;0.345;0.548;1.286;
04.05.2024;0.267;0.406;1.286;
05.05.2024;0.318;0.382;0.82;
